timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:49:43.094913,0,0,1.2559709548950195,0.0,0.0,64.3,21.7,64713935,22670387590,317116,16245298,1.0,,192.168.1.100
2024-09-22 18:49:44.210979,0,0,2.372036933898926,0.0,0.0,7.6,21.9,64741616,22670403220,317176,16245352,1.0,,192.168.1.100
2024-09-22 18:49:45.270936,0,0,3.4319939613342285,0.0,0.0,13.2,22.1,64759156,22670431859,317249,16245426,1.0,,192.168.1.100
2024-09-22 18:49:46.348119,0,0,4.5091776847839355,0.0,0.0,22.1,22.1,64774254,22670438208,317278,16245452,1.0,,192.168.1.100
2024-09-22 18:49:47.410139,0,0,5.571196794509888,0.0,0.0,7.5,22.1,64778120,22670440948,317300,16245469,1.0,,192.168.1.100
2024-09-22 18:49:48.468711,0,0,6.629769325256348,0.0,0.0,16.6,21.9,64787104,22670447935,317317,16245486,1.0,,192.168.1.100
2024-09-22 18:49:49.528497,0,0,7.689554929733276,0.0,0.0,4.8,21.9,64789765,22671551760,317338,16246286,1.0,,192.168.1.100
2024-09-22 18:49:50.593098,0,0,8.754156589508057,0.0,0.0,8.5,22.2,64809297,22671556979,317368,16246310,1.0,,192.168.1.100
2024-09-22 18:49:51.688961,0,0,9.850019216537476,0.0,0.0,21.4,22.3,64810516,22671557753,317376,16246316,1.0,,192.168.1.100
2024-09-22 18:49:52.748960,0,0,10.910018682479858,0.0,0.0,3.3,22.3,64811336,22671558344,317381,16246319,1.0,,192.168.1.100
2024-09-22 18:49:53.807179,0,0,11.968236923217773,0.0,0.0,4.8,22.3,64812555,22671559118,317389,16246325,1.0,,192.168.1.100
2024-09-22 18:49:54.876536,0,0,13.037593841552734,0.0,0.0,5.1,22.3,64813243,22671559643,317392,16246327,1.1,,192.168.1.100
2024-09-22 18:49:55.950527,0,0,14.11158537864685,0.0,0.0,7.5,22.4,64832775,22671564884,317422,16246351,1.1,,192.168.1.100
2024-09-22 18:49:57.038795,0,0,15.199853420257568,0.0,0.0,19.4,22.4,64833928,22671565592,317429,16246356,1.1,,192.168.1.100
2024-09-22 18:49:58.100584,0,0,16.26164197921753,0.0,0.0,3.3,22.4,64835304,22671566642,317435,16246360,1.1,,192.168.1.100
2024-09-22 18:49:59.176844,0,0,17.337902069091797,0.0,0.0,14.9,22.5,64836457,22671567350,317442,16246365,1.1,,192.168.1.100
2024-09-22 18:50:00.246863,0,0,18.407921075820923,0.0,0.0,4.2,22.5,64837145,22671567875,317445,16246367,1.1,,192.168.1.100
2024-09-22 18:50:01.309247,0,0,19.47030544281006,0.0,0.0,8.1,22.5,64837833,22671568400,317448,16246369,1.1,,192.168.1.100
2024-09-22 18:50:02.398933,0,0,20.559991121292114,0.0,0.0,16.1,22.6,64857830,22671573824,317482,16246396,1.1,,192.168.1.100
2024-09-22 18:50:03.485610,0,0,21.646668195724487,0.0,0.0,12.0,22.6,64858518,22671574349,317485,16246398,1.1,,192.168.1.100
2024-09-22 18:50:04.550284,0,0,22.711341857910156,0.0,0.0,3.8,22.6,64859671,22671575057,317492,16246403,1.1,,192.168.1.100
2024-09-22 18:50:05.610747,0,0,23.77180552482605,0.0,0.0,6.2,22.6,64863263,22671581924,317519,16246424,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:06.668925,0,0,24.82998275756836,0.0,0.0,10.4,22.6,64863951,22671582449,317522,16246426,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:07.737383,0,0,25.898441314697266,0.0,0.0,12.2,22.6,64865104,22671583157,317529,16246431,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:08.798412,0,0,26.95947027206421,0.0,0.0,14.3,22.5,64885101,22671588647,317563,16246459,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:09.858154,0,0,28.01921248435974,0.0,0.0,5.2,22.5,64885883,22671589238,317567,16246462,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:10.917931,0,0,29.078988790512085,0.0,0.0,3.3,22.5,64886571,22671589763,317570,16246464,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:11.979006,0,0,30.140064477920532,0.0,0.0,14.1,22.5,64887724,22671590537,317577,16246470,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:13.040465,0,0,31.201523065567017,0.0,0.0,10.4,22.5,64888412,22671591062,317580,16246472,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:14.102261,0,0,32.26331925392151,0.0,0.0,6.1,22.5,64909812,22671597499,317622,16246506,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:15.162931,0,0,33.323989152908325,0.0,0.0,4.3,22.5,64910500,22671598024,317625,16246508,1.2100000000000002,,192.168.1.100
2024-09-22 18:50:16.239240,0,0,34.40029788017273,0.0,0.0,7.1,22.5,64911188,22671598549,317628,16246510,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:17.301863,0,0,35.462920904159546,0.0,0.0,9.9,22.5,64912341,22671599323,317635,16246516,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:18.370494,0,0,36.5315523147583,0.0,0.0,11.3,22.6,64913808,22671600541,317645,16246525,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:19.435978,0,0,37.59703588485718,0.0,0.0,13.7,22.3,64914961,22671601315,317652,16246531,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:20.498100,0,0,38.65915775299072,0.0,0.0,4.2,22.3,64934427,22671606468,317681,16246554,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:21.562036,0,0,39.72309398651123,0.0,0.0,8.0,22.3,64935854,22671607662,317691,16246563,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:22.625459,0,0,40.78651762008667,0.0,0.0,8.0,22.3,64937007,22671608436,317698,16246569,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:23.690093,0,0,41.85115122795105,0.0,0.0,11.4,22.0,64938625,22671609459,317709,16246579,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:24.753695,0,0,42.914753437042236,0.0,0.0,3.3,22.0,64939313,22671610050,317712,16246582,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:25.812235,0,0,43.97329354286194,0.0,0.0,5.2,22.0,64940926,22671611640,317725,16246594,1.3310000000000004,,192.168.1.100
2024-09-22 18:50:26.876496,0,0,45.0375542640686,0.0,0.0,12.7,22.0,64960557,22671616440,317753,16246616,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:27.935742,0,0,46.096800327301025,0.0,0.0,5.7,22.1,64961245,22671616965,317756,16246618,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:28.994661,0,0,47.15571880340576,0.0,0.0,18.7,22.6,64962581,22671618084,317766,16246627,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:30.053678,0,0,48.21473574638367,0.0,0.0,5.2,22.6,64963269,22671618609,317769,16246629,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:31.113954,0,0,49.27501201629639,0.0,0.0,3.3,22.6,64963957,22671619134,317772,16246631,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:32.174357,0,0,50.33541488647461,0.0,0.0,12.3,22.6,64984576,22671625061,317808,16246660,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:33.234130,0,0,51.395187854766846,0.0,0.0,3.3,22.6,64985264,22671625586,317811,16246662,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:34.294049,0,0,52.45510721206665,0.0,0.0,11.8,22.1,64986417,22671626360,317818,16246668,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:35.354243,0,0,53.515300989151,0.0,0.0,3.8,22.1,64987105,22671626885,317821,16246670,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:36.414774,0,0,54.57583260536194,0.0,0.0,17.3,22.1,64990708,22671637677,317844,16246692,1.4641000000000006,,192.168.1.100
2024-09-22 18:50:37.482922,0,0,55.643980503082275,0.0,0.0,8.9,22.1,64992227,22671639141,317857,16246704,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:38.560447,0,0,56.72150468826294,0.0,0.0,10.3,22.1,65032210,22671661925,317959,16246798,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:39.627136,0,0,57.78819441795349,0.0,0.0,21.4,22.3,65045444,22671673124,318014,16246847,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:40.689295,0,0,58.850353479385376,0.0,0.0,4.3,22.3,65065795,22671696240,318088,16246922,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:41.750927,0,0,59.91198492050171,0.0,0.0,11.8,22.3,65094868,22671737436,318160,16246993,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:42.812962,0,0,60.97402048110962,0.0,0.0,10.4,22.3,65123600,22671758437,318244,16247070,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:43.874372,0,0,62.03542995452881,0.0,0.0,6.1,22.3,65125026,22671760156,318254,16247082,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:44.937437,0,0,63.09849548339844,0.0,0.0,10.4,22.4,65145713,22671766232,318295,16247116,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:45.999189,0,0,64.16024732589722,0.0,0.0,4.8,22.4,65146467,22671766757,318299,16247118,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:47.061144,0,0,65.22220230102539,0.0,0.0,10.4,22.4,65150249,22671769814,318327,16247142,1.6105100000000008,,192.168.1.100
2024-09-22 18:50:48.125407,0,0,66.28646540641785,0.0,0.0,9.0,22.4,65151912,22671771406,318340,16247154,1.771561000000001,,192.168.1.100
2024-09-22 18:50:49.186924,0,0,67.34798192977905,0.0,0.0,12.3,22.4,65153263,22671772246,318350,16247161,1.771561000000001,,192.168.1.100
2024-09-22 18:50:50.249652,0,0,68.41071057319641,0.0,0.0,9.5,22.4,65183123,22671776995,318377,16247182,1.771561000000001,,192.168.1.100
2024-09-22 18:50:51.316533,0,0,69.4775915145874,0.0,0.0,6.6,22.4,65183877,22671777902,318381,16247185,1.771561000000001,,192.168.1.100
2024-09-22 18:50:52.380125,0,0,70.54118275642395,0.0,0.0,13.1,22.5,65185718,22671779135,318391,16247192,1.771561000000001,,192.168.1.100
2024-09-22 18:50:53.442307,0,0,71.60336542129517,0.0,0.0,3.8,22.5,65186406,22671779660,318394,16247194,1.771561000000001,,192.168.1.100
2024-09-22 18:50:54.504779,0,0,72.66583728790283,0.0,0.0,4.7,22.5,65187859,22671780970,318406,16247204,1.771561000000001,,192.168.1.100
2024-09-22 18:50:55.566930,0,0,73.72798800468445,0.0,0.0,9.0,22.2,65188547,22671781495,318409,16247206,1.771561000000001,,192.168.1.100
2024-09-22 18:50:56.634664,0,0,74.79572200775146,0.0,0.0,12.2,22.2,65207713,22671786046,318433,16247224,1.771561000000001,,192.168.1.100
2024-09-22 18:50:57.699263,0,0,75.8603208065033,0.0,0.0,8.0,22.2,65208866,22671786754,318440,16247229,1.771561000000001,,192.168.1.100
2024-09-22 18:50:58.764197,0,0,76.92525506019592,0.0,0.0,5.2,22.2,65210019,22671787462,318447,16247234,1.9487171000000014,,192.168.1.100
2024-09-22 18:50:59.827934,0,0,77.98899245262146,0.0,0.0,13.3,22.3,65211007,22671788589,318455,16247241,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:00.892574,0,0,79.05363249778748,0.0,0.0,5.7,22.4,65211827,22671789180,318460,16247244,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:01.970701,0,0,80.13175940513611,0.0,0.0,12.1,22.4,65212980,22671789888,318467,16247249,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:03.038242,0,0,81.19930052757263,0.0,0.0,8.9,22.4,65232146,22671794439,318491,16247267,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:04.102064,0,0,82.26312184333801,0.0,0.0,4.7,22.4,65233299,22671795147,318498,16247272,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:05.165626,0,0,83.32668375968933,0.0,0.0,3.8,22.4,65233987,22671795672,318501,16247274,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:06.224557,0,0,84.38561487197876,0.0,0.0,7.6,22.4,65237879,22671803141,318533,16247300,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:07.283321,0,0,85.4443793296814,0.0,0.0,14.2,22.4,65239032,22671803849,318540,16247305,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:08.341919,0,0,86.50297713279724,0.0,0.0,4.3,22.4,65258198,22671808400,318564,16247323,1.9487171000000014,,192.168.1.100
2024-09-22 18:51:09.402955,0,0,87.56401348114014,0.0,0.0,8.9,22.4,65260133,22671809699,318575,16247331,2.0,,192.168.1.100
2024-09-22 18:51:10.498177,0,0,88.65923523902893,0.0,0.0,10.1,22.1,65260821,22671810290,318578,16247334,2.0,,192.168.1.100
2024-09-22 18:51:11.556551,0,0,89.71760940551758,0.0,0.0,3.3,22.1,65261509,22671810815,318581,16247336,2.0,,192.168.1.100
2024-09-22 18:51:12.656595,0,0,90.81765270233154,0.0,0.0,23.3,22.3,65262962,22671812191,318593,16247347,2.0,,192.168.1.100
2024-09-22 18:51:13.715541,0,0,91.87659883499146,0.0,0.0,3.3,22.3,65264115,22671812965,318600,16247353,2.0,,192.168.1.100
2024-09-22 18:51:14.780020,0,0,92.941077709198,0.0,0.0,5.7,22.3,65283996,22671817938,318629,16247375,2.0,,192.168.1.100
2024-09-22 18:51:15.838585,0,0,93.9996428489685,0.0,0.0,3.3,22.3,65284684,22671818463,318632,16247377,2.0,,192.168.1.100
2024-09-22 18:51:16.897223,0,0,95.05828070640564,0.0,0.0,7.1,22.3,65285837,22671819237,318639,16247383,2.0,,192.168.1.100
2024-09-22 18:51:17.955873,0,0,96.11693072319031,0.0,0.0,13.0,22.5,65287670,22671821145,318655,16247398,2.0,,192.168.1.100
2024-09-22 18:51:19.016018,0,0,97.17707633972168,0.0,0.0,5.7,22.5,65288823,22671821919,318662,16247404,2.0,,192.168.1.100
2024-09-22 18:51:20.078618,0,0,98.23967599868774,0.0,0.0,12.7,22.7,65307989,22671826470,318686,16247422,2.0,,192.168.1.100
2024-09-22 18:51:21.146612,0,0,99.30767035484314,0.0,0.0,5.1,22.6,65308677,22671826995,318689,16247424,2.0,,192.168.1.100
